column0,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12
It is because of counter-productive antics by UMNO leaders like Irmohizam Ibrahim that Hishammuddin has been given super-added powers to create proper conditions for Najib to fight and win power in the 14GE,20170412,1 Comment,{Bigjoe}{12 April 2017}{6:11 pm} Hishamuddin promotion is a curious play..Truth is Zahid Hamidi has made great strides towards securing the next in line position while Hishamuddin has been more stable politically. It at least reflects Najib hedging his bet and some wariness of Zahid Hamidi.,,,,,,,,,
"After alleging that I “remote-control” Pakatan Harapan leaders and MPs, will Ismail Sabri next allege that I “mind control” Mahathir, Anwar, Azizah, Muhyiddin, Azmin and Mat Sabu to be my stooges and puppets?",20170411,2 Comments,"{Bigjoe}{11 April 2017}{9:47 pm} The slandering, lying and fear mongering has long been defamatory in any reasonable jurisdiction. But now it’s ridiculous, illogical, reckless, hateful, to the point it’s CRUEL and INDECENT.",{good coolie}{11 April 2017}{11:15 pm} I have just sent an essay-entry hoping to win the jackpot money from UMNO Baru.,,,,,,,,
Is another disappearance totaling five persons missing in past six months further proof Malaysia in trajectory of a rogue state?,20170410,2 Comments,{good coolie}{11 April 2017}{11:21 pm} I understand that those who disappear are the simple fellows who have no means of protecting themselves other than the protection afforded by the Police.,"{good coolie}{15 April 2017}{10:31 am} Good to hear that one of the missing has taken a bus to Thailand. Perhaps he ran to Thailand because he does not feel safe at home after receiving threats to his life. If the fellow is still alive, he should contact the Malaysian Police to inform them of his existential status. ",,,,,,,,
HOW AN ILL-FATED STOCK LISTING COULD SWAY MALAYSIA’S ELECTION,20170409,2 Comments,"{Bigjoe}{10 April 2017}{9:45 pm} Someone should analyze if Felda do not vote UMNO,  will they vote Amanah instead of PAS?","{Bigjoe}{11 April 2017}{4:02 am} Problem of this analysis is Brent is at USD 55, giving Me. Cash is King breathing room and given Hadi’s PAS train wreck, it’s all he need.",,,,,,,,
"UMNO/BN leaders and propagandists should not be so unpatriotic as to undermine sixty years of nation-building efforts with their irresponsible politics of lies, hate and fear",20170409,3 Comments,"{Bigjoe}{9 April 2017}{8:47 pm} Najib has condemned us all to certain hegemony of a racist, theocratic AND CORRUPT rule by power regime. UMNO/BN irresponsible is incidental.","{Bigjoe}{9 April 2017}{8:50 pm} Sarawak and Sabah has to understand this basic fact. They do not want worst version of Hadi’s PAS, it’s UMNO’s PAS.",{Bigjoe}{11 April 2017}{3:23 am} Rafizi ask a good question on RUU 355 whether it will punish elites and politicians. ,,,,,,,
"Najib should straighten out UMNO/BN leaders, propagandists and cybertroopers in their  demonisation campaign against me – decide whether they are attacking me for wanting to be Prime Minister or Deputy Prime Minister after the 14th General Election and not vacillate between the two",20170409,1 Comment,"{Bigjoe}{9 April 2017}{11:31 am} Truth is Najib do not have to resolve so many of the obvious contradiction of his messages and plans. Just like Trump, the voters he panders, when confused, can be trusted to fall back on irrational sensational or emotional simplistic respond that works in his favour.  Logic, rational, intelligence will lose.",,,,,,,,,
"Cabinet should seriously consider the Pensiangan Formula on promoting national unity among the diverse races, religions and regions in Malaysia",20170409,2 Comments,{Bigjoe}{9 April 2017}{9:44 am} They are going back to “exclude Sarawak and Sabah” nonsense?? It’s irrelevant. It’s even irrelevant if the bill itself is dead and Hadi’s PAS got wiped out electorally in the next GE. Sarawakian and Sabahan face the issue that Najib has recklessly idioticly damaged them for certain and the choice is simply accept Islamism or the end of BN.,"{Bigjoe}{9 April 2017}{10:04 am} Sarawakians and Sabahan need only ask one question, do they trust Najib especially his ability as a leader? Nothing else is relevant. Because all these nonsense even certain wipeout of Hadi’s PAS next GE is his doing. They really think Najib is smart enough not to mess things up for them, to keep his job and over entitlement?",,,,,,,,
"When major national institutions go “rogue” and refuse to perform their  key functions, Malaysians regardless of race, religion or region must stand up to unite as patriotic Malaysians to Save Malaysia from becoming a “rogue” state",20170408,3 Comments,"{SuperStringhg}{8 April 2017}{12:45 pm} Please ask why Malaysian authorities’ refusal to cooperate with Swiss Office of Attorney-General (OAG) request for
information. Is the Swiss request too unreasonable?
Or  is it too shameful to reveal to others?","{Bigjoe}{8 April 2017}{2:07 pm} On surface, you would say Najib is the biggest rogue given 1MDB and subsequent destruction and abuses.  But in the end, that is still not his biggest sin, his biggest sin is his reckless destruction and abuse. He knows not the damage he has caused which we will pay.","{good coolie}{8 April 2017}{7:06 pm} Najib thinks some other person would appeal for a declaration that the Act/Bill is ultra vires the Constitution. You know, Son of Ismail has courageously taken the matter up. Others would follow. Meanwhile Najib is in the clear.
For political reasons, these UMNO fellows make a whole lot of mess and hope others would clear up their mess. This is also akin to a game of “pass the bomb”. When the thing explodes, they think they themselves would not get hurt! “Funny Fellows”. They don’t love the country, only their pockets.",,,,,,,
Pandikar has ended up as a “bloody fool” with his abuse of powers as Speaker in disallowing a debate on Hadi’s private member’s bill motion,20170407,2 Comments,{Bigjoe}{7 April 2017}{9:47 am} Pandikar Amin is a bloody fool for believing that following Najib idiotic lead is a good idea.,{good coolie}{8 April 2017}{7:11 pm} I am a fool too. That’s because I cannot understand why all this foolhardiness is gong on in a House Full of Fools.,,,,,,,,
Kenapa Kit Siang bangkit mencelah pembentangan usul Haji Hadi,20170407,1 Comment,"{Bigjoe}{7 April 2017}{7:42 am} What Sarawakians, Sabahan and even PAS supporters must understand, what this really means.",,,,,,,,,
I will accept a public  debate with the Prime Minister or any senior UMNO leader on “Who is a Malaysian Patriot” or “What are the challenges of a Malaysian Patriot in 2017”,20170405,2 Comments,"{Sallang}{5 April 2017}{5:04 pm} Those who work very hard to Save Malaysia are patriots.
Those who steal from government coffers, are PAid To RIOT","{Bigjoe}{6 April 2017}{8:05 pm} Make no mistake, Najib is a Traitor. He has committed treason.  The Tabling of RUU 355 gives certainty that the foundation that underwrote the success of the country will be destroyed. Syariah and Hudud is certain to be law of the land unless BN is kicked out.",,,,,,,,
Who has the final authority on  the police ban of the Mahathir-Nazri debate – the IGP or the Home Minister?,20170404,1 Comment,{yhsiew}{6 April 2017}{4:49 pm} Najib has the final authority on the police ban of the Mahathir-Nazri debate because both the IGP and the Home Minister listen to Najib.,,,,,,,,,
"Why Abdul Rahman Dahlan  evades the question why he is not fighting  his own battle and instead,  run crying to “MO1” for SOS to direct other UMNO Ministers and leaders to come to his rescue?",20170403,3 Comments,"{Bigjoe}{3 April 2017}{6:31 pm} RM100 fine for assaulting an MP on Parliament grounds, systematically avoiding a “small” debate between Nazri and Mahathir, slandering, lying then  ganging up against Sdr.Lim, such over entitlement and abuse of power can only mean 1MDB will be repeated again and again, national debt piled higher and higher, massive loses on projects certain again and again and institutions already broken, wrecked even further.","{Godfather}{3 April 2017}{8:01 pm} Evil shows on their faces. Rahman Dahlan, Noh Omar and Cowgirl Shahrizat have the most evil looks. The rest ? They look more stupid than evil, but they all belong to the 40 thieves.",{Bigjoe}{4 April 2017}{4:27 am} Felda settlers total debt is only 5b? Pakatan should promise to wipe it out instead of subsidizing fuel price.,,,,,,,
Hadi should name the “mastermind” blocking his private member’s bill if he is not to be taken as an irresponsible political leader who make baseless allegations,20170403,5 Comments,"{Bigjoe}{3 April 2017}{1:04 pm} If there was a mastermind, he would have came up with a way to get Anwar out on the road now with Mahathir. Truth is if Anwar and Mahathir were to go through the country on together, Najib& Co AND Hadi’s PAS would be done electorally..","{Godfather}{3 April 2017}{8:05 pm} For Hadi, the real mastermind is Never Mind.","{Bigjoe}{4 April 2017}{6:54 am} Pakatan should have a clear line of argument against the bill. Not let it out of control. If attacking, then it should be asked if failure to govern is halal, risking injustice is halal, using Islam for excuses and hide from failure is Syariah.","{tmc}{4 April 2017}{9:11 am} LKS,
The motion on PAS president Abdul Hadi Awang’s private member’s bill will be tabled by Thursday at the latest, and deferred yet again.","{good coolie}{4 April 2017}{11:51 am} Is it the Butler who did it? Is it the much much much much more toxic fellow, killer of insecticides? Can’t be the de-fanged fellows, Anwar and Mahatir….",,,,,
"Fight your own battle Abdul Rahman, why you have to run SOS to  “MO1” to direct other UMNO Ministers and Deputy Ministers to come to your rescue?",20170402,3 Comments,"{ezraanne ezra}{2 April 2017}{7:42 pm} UMNO has been the real dictator.  Now Pakatan Harapan should and must put all focus and effort on saving this country from this dictator.  The election just a breath away, I think better leave the monkeys with the bananas, let them fight their own battle.  ","{Bigjoe}{3 April 2017}{7:31 am} UMNO has been lying and cheating the Malays for decades and its typical of them to attack their critics and opposition with what the wrongs they have done themselves. After all, the point of stacking over-entitlement on their part is so they can use them when they are in trouble.","{Godfather}{3 April 2017}{12:04 pm} Tell UMNO:  Once a thief, always a thief.",,,,,,,
"Malaysians must Save Malaysia, which lost it way in  failing to be an exemplary economic and political success in the last six decades, to reset nation-building directions and policies",20170402,1 Comment,"{Bigjoe}{3 April 2017}{7:52 am} I say it again, its essential that Amanah reach out to those now unhappy with Hadi’s PAS with possible re-union. The relationship with PAS and their supporters are emotionally deep, in fact deeper than with rabid corrupted UMNO hardcore, no matter how badly Hadi’s PAS is driving the party, abandoning it is too cathartic for them. Hence, Amanah must offer a salvage for PAS supporters, that they would be willing to rescue the party for those who have taken it wrong way..",,,,,,,,,
Najib has  beaten Mahathir to be “U-turn champion” following his U-turn reneging on  his announcement at the  UMNO general assembly last November to take-over Hadi’s bill,20170402,1 Comment,"{Bigjoe}{2 April 2017}{1:25 pm} It’s not correct Najib did a U-turn turn.  Fact was he boldly promised a disaster, then near the edge he swerved, but go knows where he is going – taking selfie with Sivaji seems more important than doing his job and risking fundamental nature of the country..",,,,,,,,,
"Revocation of police permit for Dr M-Nazri debate evidence  that the Najib government is running scared of the ordinary people demanding accountability for 1MDB  scandal; Najib has no answer to these questions and is unable to clear Malaysia of the curse, infamy and ignominy of being regarded worldwide as a global kleptocracy",20170402,3 Comments,"{Bigjoe}{2 April 2017}{7:11 am} Well, compared to Najib running off to selfie with Sivaji when the very nature of the Federation, the country is at stake, it’s actually nothing. It’s not like Nazri and Mahathir is going to tackle this Dysfunctionality that is owned by Hadi’s PAS.","{ezraanne ezra}{2 April 2017}{6:15 pm} Their testicles are not courageous enough, period.","{good coolie}{4 April 2017}{12:02 pm} These chaps will not allow themselves to be investigated. They would rather declare some form of emergency rule and reopen the defunct Hotel Kamunting. There, DAP guests can complain of being served only two fish for lunch (even though that seems to be good enough food).",,,,,,,
Imagine the protest and demos all over the country if a DAP MP had proposed a Bill which is alleged to show contempt for the Malay Rulers!,20170401,3 Comments,"{Bigjoe}{2 April 2017}{5:01 am} Like it or not, it’s all part and parcel of the NEP, in reality an (over)entitlement and apartheid program. You are talking about a population indoctrinated all their lives about their entitlements and especially in religion, in the oldest text contains words like “dhimmi” who is always a “kafir” – an inherently prejudicial context.",{Bigjoe}{2 April 2017}{8:19 am} The most worrying thing about this is the fact Hadi Awang says there is a ” mastermind” behind opposition to RUU355 when in fact the opposition is very transparent and if there are ” mastermind” there are MILLIONS of ordinary Malaysian “masterminding” to stop the bill.,{good coolie}{4 April 2017}{12:23 pm} Opposing the bill does not mean opposing Islam. It just means opposing a certain interpretation of Islam that affects Malaysian society (Muslims and Non-Muslims) adversely.,,,,,,,
My third lesson for Abdul Rahman Dahlan –  邪不胜正 (Evil cannot triumph over good),20170401,1 Comment,{ezraanne ezra}{2 April 2017}{6:41 pm} Rahman Dahlan equals Salleh Said Keruak.  When you treat and regard carabaos as horses that’s what you get – the duo.,,,,,,,,,
Ke mana agaknya arah tuju PAS?,20170401,4 Comments,"{Bigjoe}{1 April 2017}{11:36 am} I do not get it. EVEN critics of PAS handle them with kid gloves full of platitudes.  ” Lawan ketirisan”? They cannot even find it, even when put in front of them, they know not the relevant important issues..",{good coolie}{1 April 2017}{1:07 pm} Hasrat untuk menyatukan kaum Melayu dan umat Islam adalah perkara yang baik. Tetapi jangan pula penyatuan itu mengakibatkan kemunduran kaum Melayu secara berikut:-,{ezraanne ezra}{2 April 2017}{5:25 pm} Are these people PAS really Islamic or they are actually Arabic?  Their attitude towards other people who profess other than Islam and who are not malay – are bad enough (memutuskan hubungan dengan orang bukan Islam and those who don’t share their ‘islamic’ political ideology).  Bad enough they PAS should not be given any trust to rule any where in this country.,{ezraanne ezra}{2 April 2017}{5:44 pm} PAS people are a cocky lot cos they think they will be the sole inhabitants of heaven.  Heaven is their ultimate goal arah tuju PAS.  They won’t have time for the here and now.  They’re just too busy collecting their rewards for the tomorrow.,,,,,,
Mengapa Mahathir berkawan dengan Kit Siang?,20170401,4 Comments,"{good coolie}{1 April 2017}{1:11 pm} Ialah, selepas Mahatir dapat menggulungkan Najib dan UMNO, baliklah LKS kepada Hotel Kamunting. Back to Square One, kata orang putih.","{ezraanne ezra}{2 April 2017}{5:10 pm} No I don’t think so.  Tun Mahathir is 92, I believe this will be his last sacrifice to the nation Malaysia.  We all must set our hearts right, not to perceive or judge because our being judgmental do not help us in any way. ","{good coolie}{4 April 2017}{12:35 pm} Right, I confess to being harsh on a nonagenarian.",{ezraanne ezra}{4 April 2017}{6:10 pm} Ego and lack of humility – two reasons why people are reluctant to ask for forgiveness or to forgive.,,,,,,
Mencari butang ‘reset’ buat menyembuh penyakit kakistokrasi Malaysia,20170401,2 Comments,"{good coolie}{1 April 2017}{1:25 pm} Setuju, bang! Orang-orang muda Malaysia mungkin tidak menyedari bahawa pada suatu ketika dahulu Malaya/Malaysia adalah antara negara-negara yang paling kaya dalam Asia. Begitu juga, dalam bidang sukan, Malaysia pernah jadi jaguh dalam bola-sepak dan hoki. ","{Bigjoe}{1 April 2017}{3:58 pm} G25 Advisor Mohd Sheriff Kassim is wrong when he says without institutional reform, the next PM will repeat what Najib does. I say to Kassim, if Najib does not go to jail, UMNO fall, Najib himself will repeat his scandals.",,,,,,,,
Any passage of Hadi’s private member’s bill motion in Parliament next Thursday will make a total mockery of BN Supreme Council decision that BN government will not take over Hadi’s private member’s bill to amend Act 355,20170331,3 Comments,"{Bigjoe}{31 March 2017}{5:42 pm} So NOBODY IS GOING TO POINT  OUT that Najib, having dropped a bomb on RUU 355, smiled creepily, past the buck on the issue, then RAN OFF TO INDIA to hob nob with a celebrity leaving everyone including Hadi’s PAS guessing ON THE PIVOTAL ISSUE OF THE FUNDAMENTAL NATURE OF THE COUNTRY AND NATION??",{yhsiew}{31 March 2017}{9:13 pm} BN is playing with Act 355 to frustrate and divide the opposition.,"{good coolie}{1 April 2017}{1:34 pm} PAS must take UMNO’s hint. Without UMNO’s and Azalina’s blessing, the bill is going nowhere. At the same time, the opposition should not crow too much. If you insult Abang Jib, he can still cause some discomfort by urging UMNO to vote for the Bill.",,,,,,,
My second lesson for Abdul Rahman Dahlan is the Confucian saying 名正才能言順 as he is not BN Director of Strategic Communications but BN Director of Strategic Lies,20170331,1 Comment,"{Bigjoe}{31 March 2017}{9:43 am} Well, Najib tells bad lies so why not his political sucklings?",,,,,,,,,
Two important outcomes of BN Supreme Council meeting – averting final funeral rites for a consensus-based BN and clear affirmation that to criticize or even oppose Hadi’s private member’s bill is not being anti-Islam,20170330,5 Comments,"{Godfather}{30 March 2017}{2:31 pm} Don’t hope for a quick resolution to this matter, Kit.  Bijan has sold his soul in ten different ways.  He has committed to Hadi that UMNO will support 355. He has also committed to the minority BN parties that he (not UMNO, mind you) will not support 355.  He has told Sabah and Sarawak not to worry, 355 will only be limited to Peninsular Malaysia.  ",{Bigjoe}{30 March 2017}{3:49 pm} I do not believe ONE MOMENT its about “BN-Consensus”. BN component parties had been opposing all along and they kept ploughing even attempting to get Sarawak and Sabah parties not to fight it in exchange for exempting them from the law.,"{Bigjoe}{30 March 2017}{6:14 pm} The issue now is how do you convince PAS supporters that Hadi’s PAS “for Islam” excuse for poor performance is unacceptable, that they should be punished through vote for Pakatan?  How do you take away Hadi’s PAS bottomless refuge of excuses and make them pay through Pakatan gain?","{good coolie}{30 March 2017}{10:00 pm} There is some life in ye old Malaysia. Ahmad, Ah Chong and Ramasamy, together with new friends from East Malaysia, have given some hope to this nation.","{Bigjoe}{31 March 2017}{8:05 am} When asked if the bill will be debated and MPs be told to vote their conscience, Najib actually SMILED, creepily, and past the buck to the Speaker.",,,,,
Rahman Dahlan reminds me of the Chinese saying 朽木不可雕 as he continues to score his own goal despite my earlier  attempt  to educate him – but he  is unteachable as he is unlearnable!,20170330,2 Comments,"{Bigjoe}{30 March 2017}{11:18 am} Truth is even Rahman Dahlan real intentions – to cause problems within DAP and Pakatan, to attack the confidences of their supporters in reality does nothing but feed the rabble rousing hallucinating UMNO rabid supporters i.e encourage the trouble makers of UMNO and these days, include Hadi’s PAS.","{Godfather}{30 March 2017}{11:37 am} Rahman Dahlan is UMNO’s attack dog.  He works best in a frenzy, and sometimes in a frenzy he will also bite the hand that feeds him.  Hence it’s good to goad and provoke this clown, make him angry, make him unpredictable, and he will come up with stupid remarks and actions.",,,,,,,,
"Rahman Dahlan should prove he is a patriot by asking Najib to resign as Prime Minister if Najib is not prepared to clear Malaysia of the curse, infamy and ignominy of being ridiculed world-wide as a global kleptocracy because of 1MDB money-laundering scandal",20170329,2 Comments,"{Bigjoe}{29 March 2017}{4:10 pm} With lying leaders likes of Rahman Dahlan, Sabahan and Sarawakians really think their way of life is not certain death, that eventually they will not only fall to UMNO hegemony but also Hadi’s PAS? Like MCA, MIC, Gerakan lied like Rahman Dahlan and Abang Johari the same way and look where they are today..","{Godfather}{30 March 2017}{11:40 am} A dedak eater isn’t going to bite the hand that feeds him.  He’s gone past repentance.  He’s now used to eating dedak, and he will continue unabated until the people of Sabah wake up and send him into ignominy.",,,,,,,,
DATUK ZAID PILIH DAP,20170328,3 Comments,"{good coolie}{28 March 2017}{7:31 pm} Baiklah, kita sokong Datuk Zaid. Janji Make Malaysian football great again. Jangan macam tin kosong Trump itu, yang tak mampu buat apa pun great again.",{Bigjoe}{28 March 2017}{8:09 pm} Sorry to Syed Saddiq but his essay on Lim Kit Siang loses to Sanusi Junid. Annuar Miss should pay RM50K to both of them.,"{ezraanne ezra}{2 April 2017}{4:52 pm} Now they’re talking (Sanusi Junid)!  The malays of today are not the same as the malays of pre- merdeka, though the UMNO-BN government tried best to keep them under broken coconut shells so they remain bulliable and at their malay leaders’ disposal to manipulate.  ",,,,,,,
"Are we in the last ten  days or fortnight of the 44-year-old Barisan Nasional founded by  Tun Razak in 1973  as a consensus-based political coalition  if UMNO imposes  hegemony by unilaterally  taking over Hadi’s private member’s bill on RUU 355, whether on April 6 to 10?",20170328,4 Comments,"{Godfather}{28 March 2017}{1:20 pm} Sorry lah, Kit.  It will be a case of “Yes Sir, Yes Sir, Three Bags Full” from the no-spine parties.","{Godfather}{28 March 2017}{2:44 pm} It’s Bijan’s survival we are talking about here.  If he doesn’t go through with it, PAS will wake up and realise it’s been conned by UMNO.  More importantly, if Bijan loses the elections, it is almost certain that he has to seek asylum in Kazakhstan.  So it has to be “win at all costs” for him.","{Bigjoe}{28 March 2017}{7:17 pm} The ” consensus” farce was long debunked. But the real.milestone is Abang Johari caving in on RUU 355. Despite the clear display of UMNO hegemony over MCA, Gerakan, MIC, Abang Johari play the same pathetic script that got them here.",{Bigjoe}{30 March 2017}{7:45 am} What happened? l do not buy it that they called off RUU 355 because of “consensus” not after Zahid Hamidi was so confident they would take it up. ,,,,,,
Lim Kit Siang and UMNO,20170328,2 Comments,"{Bigjoe}{28 March 2017}{8:09 am} Pakatan Harapan are Patriots and with all honesty to BN, they cannot say for sure they are. Really they can’t, not with Constitutional Wrecking, institutional wrecking, when they cannot get rid of very talentless PM over a billion dollar thief, then they cannot be sure to call themselves Patriots.","{ezraanne ezra}{3 April 2017}{2:46 pm} UMNO has been so cocky angkuh to think that this nation only belongs to them to one race one religion only that it has failed to see any other being except themselves.  Far from being the champion of the malay people or their religion, UMNO is in reality the Traitor against its own people Melayu, its own religion Islam, its Raja Melayu.  UMNO’ constitution is more sacred than the Federal Constitution.",,,,,,,,
"Pieces falling into place – there is a high-powered and well-orchestrated campaign to break Pakatan Harapan by demonizing DAP and me, hoping at least to break my spirit and force my retirement from politics",20170327,3 Comments,"{Sallang}{27 March 2017}{4:39 pm} YB Lim, if you are still strong and healthy, you must soldier on.
BN ministers must have secretly met and come to a conclusion that, like PKR , without Anwar, it has no voice. There are good leaders in PKR. Wan Azizah should pick Rafizi to lead the pack.
Why still want the moon as partner.
As for MCA, they can sit by the roadside on the way to Genting Highlands, hoping for some kacang thrown at them.
Please ask the people who attend your dinner speeches, or kopitiam ceramah if you should soldier on.
I would wish you to soldier on and reach Putrajaya. Do it for DAP, your struggle for the people, and for the late Karpal Singh.
Take care of your health, and ride the ETS, to be safe, where its convenient.","{Bigjoe}{27 March 2017}{5:26 pm} There clearly is systematic demonising of DAP and Sdr.Lim but the idea it can break Pakatan is simply stupid and lobodomized minded. Both DAP and Pakatan is too broad and deep in talent, ideas, skills and character to be so easily broken.","{Godfather}{28 March 2017}{1:03 am} Just ignore them. Go about your ceramahs. Write about 1MDB, which is what they fear most given that the actions of several countries are beyond their control. The second thing which they fear most ? The ever rising cost of living. Conduct real life interviews with the poor, the downtrodden.",,,,,,,
Graft fighting Riau people shocked at 1MDB scandal,20170327,1 Comment,{Bigjoe}{27 March 2017}{12:01 pm} Its not just nearby Riau that has very close relationship with Malaysia through border trade for centuries as well as population that crosses back and forth constantly..,,,,,,,,,
The issue in the  14th General Election is whether to Save Malaysia or to Save Najib,20170326,3 Comments,"{Bigjoe}{26 March 2017}{8:08 pm} The problem remain that Najib’s UMNO and Hadi’s PAS fights to confuse voters with non-issues fear mongering, clarion calls of religo-fervour. They are all made up to cover up their own failures and irrelevance – Najib his corruption and mediocrity and Hadi’s PAS inabilities to govern and develop a modern state.","{worldpress}{26 March 2017}{10:31 pm} Why they wanted this 355 – private bills? Harsh laws to threaten the people prevent adultery, steal, etc.",{good coolie}{28 March 2017}{10:04 pm} Even many many visit by rich Sheiks will not save UMNO and Najib.,,,,,,,
"Rahman Dahlan must be the “mastermind” responsible for Annuar Musa’s cheapskate, low-class and moronic proposal of RM10,000, upped to RM50,000 within 24 hours, for “best” essay or social media posting on whether I am anti-Malay and anti-Islam",20170326,1 Comment,"{Bigjoe}{26 March 2017}{8:25 pm} Rahman Dahlan, a Sabahan no less, and Annuar Musa is considered the future leaders of UMNO/BN – both cesspit mud slinging politicians at even greater heights than their predecessors. And the Malays and Sarawakians and Sabahan think their fate will change with them in charge in the future? Sarawakians and Sabahan think UMNO and their partner Hadi’s PAS will not take over their states eventually?",,,,,,,,,
"Liow’s admission that the Cabinet did not discuss Hadi’s private member’s bill or RUU 355 yesterday is a shocking confession of spineless  misconduct  and abdication of responsibility of the five MCA, Gerakan and MIC Ministers",20170325,10 Comments,{worldpress}{25 March 2017}{9:37 pm} They are number 1 enemy of our country FEDERAL CONSTITUTION!,"{good coolie}{26 March 2017}{12:05 am} Much, much, much more toxic than is used to “kill the insecticide”.
Come on Astro, have mercy. At least correct the error if you still want to air the clip. Have some consideration for our community.","{Bigjoe}{26 March 2017}{6:03 am} What is unbelievable is Sarawak and Sabahan swallow this load of crap that it does not affect them. It’s the same nonsense that have led to the sorry state of MCA, Gerakan and MIC and they have it in front of them as evidence of their own sad ending.","{Bigjoe}{26 March 2017}{9:30 am} Sarawakians and Sabahan, especially BN MPs and ministers who will not vote against the law, gives up their right to complain about their rights and unfairness treated against them. Abang Johari proves in one easy step he is an UMNO man and Sarawak is doomed to UMNO and eventually their twin Hadi’s PAS.","{worldpress}{26 March 2017}{12:52 pm} Get prepare!
Those non-muslim business may need to lay off or avoid Muslim to avoid business in trouble in the office!
ARE YOU READY!","{worldpress}{26 March 2017}{1:07 pm} Malaysia airlines, Air Asia need to ban all female staff wearing too sexy!
Hotel business need to ban Muslim staff to avoid related immorality activities!
All the Muslim are ban to drive!
All the school can not mixed up Male and Female!
All the cinema  can arrange female only seat!
All the public transport need to arrange female only section!
Etc,.
yeah, go ahead DESTROY THIS LOVELY MALAYSIA by superior racial you think you are!","{worldpress}{26 March 2017}{1:08 pm} Malaysia airlines, Air Asia need to ban all female staff wearing too sexy!
Hotel business need to ban Muslim staff to avoid related immorality activities!
All the Muslim female are ban to drive!
All the school can not mixed up Male and Female!
All the cinema can arrange female only seat!
All the public transport need to arrange female only section!
Etc,.
yeah, go ahead DESTROY THIS LOVELY MALAYSIA by superior racial you think you are!","{worldpress}{26 March 2017}{1:17 pm} Plus Muslim must ban work as TAXI DRIVERS!
TO AVOID get caught charge under ADULTERY for 30 years!","{worldpress}{26 March 2017}{1:32 pm} Hallo, Kakak, we need to FIRE u to avoid trouble in work place ADULTERY  of 30 years! ","{good coolie}{28 March 2017}{10:00 pm} The plan is to pass this unconstitutional bill first, and later for some unfortunate sinner to appeal to the Federal Court to rule that the law is opposed to the Constitution. Then the courts will be shivering for two or three years before they say, “let the politicians handle this”. We have seen this type of situation before with regard to the three Bs: Bible-snatching, Baby snatching and Body Snatching. The cases are effectively unresolved even now. This time it is not Christians, but Muslims who will be affected."
"Call on Gelang Patah voters, regardless of race, religion or even party politics, to lead a national “Save and Reset Malaysia” movement  from kleptocracy and the fate of a failed and rogue state",20170325,2 Comments,"{Bigjoe}{25 March 2017}{1:47 pm} Frankly, Sdr. Lim should retire. While the star power of Sdr. Lim is highly useful, maybe needed, something is wrong with a political process that need aging stars, something is wrong with renewal and forging the future of the party and Malaysia if DAP and Malaysian need to look so far behind.","{nik}{25 March 2017}{4:03 pm} Perhaps it is time you moved into and advisor role. Maybe make this your last time. You are not the same young, principled and spirited fighter I remember. You were also idealistic and believed in a Malaysia for all Malaysians. You still love and have the energy for Malaysia. But your recent comments about giving PAS a chance and accepting  PPBM or BERSATU or better a.k.a UMNO2 is not a sign of your magninimity but the fact that you have given in to the fine art of compromise where now what we have is BN2 which consists of a party that seems to be predominantly Chinese, a Malay party which might as well be known as UMNO2 and a party which is pretty much Muslim/religious based plus parties that look like GERAKAN and PPP. This will mean that you’ve given up your long-term goals with short-term solutions which will end up biting us like your decision to befriend PAS in the earlier elections. Do what you want to do. But to me and a lot of Malaysians, LKS and DAP are not the same as I remember it to be. Consistent always in principle but that has changed.",,,,,,,,
Thanks to Kedah DAP leaders for  suggesting that I contest in Kedah in 14GE – but wait for my response in Gelang Patah tomorrow,20170324,1 Comment,"{Bigjoe}{25 March 2017}{5:41 am} What religion threatens, emotionally ransom people, lie, make excuses for failures and worst spread hate.?",,,,,,,,,
I will officially write to Najib to propose that the government sponsor an essay or social media posting competition on “Is Malaysia a global kleptocracy and what we should do about it?”,20170324,2 Comments,"{Bigjoe}{24 March 2017}{8:48 pm} If the rumours about them proposing the gobbledygook known as RUU355 is true, then there is even more urgent to write essay on whether Najib and his UMNO even know their job. It’s nonsense law making, it’s jack ass being asses. We cannot tell because all our institutions are broken, from parliament to AG to judiciary, they will not do their duty to say Najib and his UMNO just no clue what their work is.","{nik}{25 March 2017}{4:11 pm} Ask the PM and DPM if they reject their ministers for such low down gutter politics. And give them 48 hours to respond. And if they don’t respond, the rakyat will have to assume their silence is a tacit approval of such gutter politics.",,,,,,,,
"Has UMNO called the bluff of MCA, Gerakan and MIC and virtually challenged them to leave Barisan Nasional over UMNO’s support for Hadi’s private member’s bill?",20170324,3 Comments,"{Bigjoe}{24 March 2017}{11:37 am} What nonsense is it that a bill that is against the Constitution, that very fundamental jurisdiction of courts themselves NOT affect Sabah and Sarawak. Especially Sabahan, which had their state constitution changed to Islam being their official religion, will NOT affect them eventually?  ","{good coolie}{24 March 2017}{7:37 pm} “Hello!” Tun, Tun, Tun sahaja? What about Ahmad, Ah Chong and Ramasamy? Not important?",{good coolie}{28 March 2017}{10:13 pm} These fellows in the Barisan’s kuncu-kucu parties are useless fellows. But UMNO is “much much much more toxic than that which  we use to kill insecticides”. ,,,,,,,
