column0,column1,column2,column3,column4,column5,column6,column7,column8,column9
Call for a nation-wide people’s campaign for collective resignation of Cabinet if 36 Ministers cannot do anything to purge Malaysia of the ignominy and infamy of regarded world-wide as a global kleptocracy,06/18/17,5 Comments,{SuperStringhg}{18 June 2017}{11:58 am} Najib is the MOST HONORABLE Man in the World. You don’t believe me you can ask Apandi lor.,"{FreeAsian}{18 June 2017}{12:15 pm} Meeting of the ministers is for Wed June 21st rather than Wed May 31st? The entire cabinet must take full responsibility for such a fiasco and therefore seek to find an urgent solution, unless they are already neck deep in collusion.","{Godfather}{18 June 2017}{1:18 pm} The DOJ is deliberately toying with MO1. Once Miranda Kerr returns her jewels, they’ll be watching if MO1’s wife returns the jewels. If she doesn’t, then she’s a conspirator to the theft of public funds.","{Bigjoe}{18 June 2017}{2:14 pm} It simply no longer enough for Cabinet to resign and wash their hands off Najib and the inflicted damages he will leave behind. The Cabinet has a respomsinility, like all Malaysian to.change the very course this country is already on which is eventual trainwreck.",{good coolie}{18 June 2017}{11:55 pm} The mysterious Ah Mo1 is back in the news. “Who would have thought the old man to have so much blood in him” (Macbeth).,,
Najib or US DoJ – the Malaysian people must decide who to believe,06/18/17,3 Comments,"{bruno}{18 June 2017}{8:06 am} This pudgy potato head businessman,named Jho Loh(tua huan cho) first caught public attention in the Manhattan night scene.I first came to hear of him,when there was an almost two page long article of a Malaysian boyish businessman tycoon,throwing away USD 50-100 k a night at nightclubs.Buying drinks for strangers he never set eyes on before.A rich young dude throwing away his hard earned money like they grow on trees,two to three times a week?","{bruno}{18 June 2017}{8:22 am} Would anyone buy a yacht for for a few hundred million with corrupted money? Would anyone buy Lindsay Lohan twenty one bottles of christal campange on her 21st birthday? Not the friends she was partying with that night.I would if it cost five bucks a bottle.But Jho Low would even it it cost hundreds,thousands or tens of thousands of dollars.After all,what is tens of thousands compared to buying tens of millions in jewellery?","{Bigjoe}{18 June 2017}{9:37 am} Read the report and no, you do not have to believe the DOJ.  The facts are Najib is lying and there is no Arab donor. The facts are even after getting caught with the money , they continued with their reckless excesses.",,,,
"Who killed Thaqif, Zulfarhan and Nhaveen? Not just the murderers but a society which allows bullies to take law into their own hands and moderates allow extremists to incite intolerance, distrust, hate  and violence",06/17/17,1 Comment,"{good coolie}{17 June 2017}{10:26 pm} Good Atheists, too?
DAP’s record is impeccable as to honest government. The only cloud is the cheap-sale bungalow which, in time, will blow away.
The reason people tell lies about DAP is because DAP may be in a new coalition government, and they may rob the the present gomen fellows of the opportunity of making easy money. “Encik, don’t put sand in anyone’s rice-bowl”!",,,,,,
Call on the entire Cabinet to collectively resign next Wednesday if Ministers are unable to purge Malaysia of the ignominy and infamy of the nation  being regarded world-wide as a global kleptocracy,06/17/17,3 Comments,{Bigjoe}{17 June 2017}{12:31 pm} Salleh Keruak said the most correct description of the 1MDB affair – treason. But what he did is accuse the other side of what his own side is guilty of-a classic cynical feudal strategy to control his opposition and flock.,{Bigjoe}{17 June 2017}{1:06 pm} People are forgeting something. Najib lied in the name of a foreign govt about “Arab donor”. That foreign govt knew all along and had Najib at its advantage.  Najib compromised the security and interest of Malaysia to a foreign govt. It’s treason,"{SuperStringhg}{17 June 2017}{3:03 pm} a very simple, simple thing Najib or his AG Apandi can do is to prove that the RM2.6B in Najib’s private bank account is from Saudia. Once that’s done, the whole case by US DOJ will be demolished. No point AG keep talking about US conspiracy against Najib. You think Malaysia opposition so powerful that they have such power to sway US DOJ to do their bidding? Najib, so show you are the most innocent and misunderstood man on Earth and the whole world is against you. Prove that US DOJ case against you is false. We wait for your brave response, Sir!",,,,
Malaysia rejects US claims over assets said stolen from 1MDB,06/17/17,2 Comments,"{Bigjoe}{17 June 2017}{8:57 am} In this holy Ramadan month, this supposedly Islamic state has a litany of its leaders lying through their teeth, underwritten AND active participants by the supposedly true Islamist Hadi’s PAS.",{good coolie}{19 June 2017}{12:03 am} Betul kah cerita Pink Panther itu?,,,,,
"Has Apandi read the ten “killer paragraphs” in US DOJ’s latest 1MDB kleptocratic suit to forfeit 1MDB-assets which directly linked Najib’s RM2.6 billion donation to 1MDB, and if so, how can he suggest that there  is nothing new?",06/16/17,3 Comments,{worldpress}{16 June 2017}{7:07 pm} We used to sing ‘CUTI-CUTI MALAYSIA’ to children.,"{bruno}{16 June 2017}{7:59 pm} The opposition have been hammering on the 1MDB scandal, for the last half a dozen years.All it was,was loud screaming through the lungs,with no political effect.Najib is now much stronger than ever,that is in the “land of the bolehs”,Malaysia.","{Bigjoe}{17 June 2017}{4:55 am} Hoteliers especially in Sarawak and Sabah do not form a lynch mob and refuse to collect and pay tourism tax, Nazri still insisting to collect, in light of these evidences, why Najib would answer?",,,,
Najib speech on loyalty reminds me of Trump’s demand for loyalty from ex FBI Director James Comey,06/14/17,3 Comments,{bruno}{15 June 2017}{12:29 am} Public servants plead loyalty to country.Look at people who plead loyalty to a person.,"{bruno}{15 June 2017}{12:35 am} Isa Samad is going to get kicked under the bus very soon.He had no place in Felda in the first place.Because of “shiok senderi”(self pleasuring),Najib appointed him chairman.For a few minutes of pleasure,Najib might regret a lifetime,if Isa is the cause of BN’s downfall in GE14.","{bruno}{15 June 2017}{12:50 am} Because of 1MDB,Najib is well known all over the world as the PM with sticky fingers.Whether it is true or not,the world sees it as it is.Najib is worth billions of ringgit.",,,,
"DAP calls for Royal Commission of Inquiry into the tens of billions of ringgit of FGV and FELDA losses, which should include Najib’s responsibility in allowing such financial losses and scandals in the past five years",06/13/17,4 Comments,"{Sallang}{13 June 2017}{9:15 pm} The time is right to get children of ‘peneroka’, like Siti Nurhaliza to start a campaign ‘ Saya anak peneroka’, and push for a RCI. Surely Tun M will not disagree.","{bruno}{14 June 2017}{12:55 am} First of all it was plain stupid of Najib to appoint Isa Samad as head of Felda.Just because the BN wanted to break the duck’s egg in a by-election,Umno let Isa Samad make a comeback.To reward this corrupt politician,his reward was to lead this gigantic plantation titan.",{bruno}{14 June 2017}{1:04 am} Politicians must never be appointed to head GLC’s.Career public servants or professionals with a good track record in the private sector must only be selected.This is to ensure to suppress corruption to a minimum.The opposition better take note of it.,{Bigjoe}{14 June 2017}{9:02 am} Truth is there is not that much difference between Najib and Isa Samad – neither the corruption nor his mediocrity is very far off each other. That is why Isa Samad has survived and thrived for so long and even after the messes he has gotten himself into continue to wreck his havoc in almost holy but needed reform institution like Felda. How do the Pot prosecute the Kettle or hold it accountable?,,,
"Regrettable that there are UMNO leaders who are defending undemocratic, violent and extremist behaviour like obstruction and roughing up of DAP MP for Kluang Liew Chin Tong when visiting Pasar Ramadan Kluang to distribute dates and spread message of harmony and solidarity",06/13/17,2 Comments,"{Godfather}{13 June 2017}{12:19 pm} They justify everything since you are the auld enemy. If they are fined RM 100 per head for assaulting an MP, what do you think they’ll do to the 2 persons arrested in Kluang ? RM 10 per person ?","{undertaker888}{15 June 2017}{10:24 am} As usual those kinds have nothing to offer the world except thuggish behaviour. No technological advancement, no financial expertise, nothing, except $hitty attitude. They just don’t know how to earn respect.",,,,,
"Hadi’s statement about US Ambassador during the 13GE campaign  most intriguing, both in content and timing",06/13/17,2 Comments,"{Bigjoe}{13 June 2017}{9:45 am} So its confirmed publicly what everyone has long said – Hadi and his planner long planned to be PM. But the issue now is now that Hadi’s PAS is in partnership with the prodigal Najib, how does he plan to achieve that?","{Bigjoe}{13 June 2017}{10:08 am} Lets put it in simple language. For Sarawak and Sabah, if they vote BN, they are voting for Hadi’s PAS and Islamic state. Plain and simple. There is no question about that.",,,,,
"Even if Malaysia ends up a failed and bankrupt state, Penang must break ranks to continue to be a successful dynamo of justice, progress and development to save Malaysia for the future",06/12/17,4 Comments,{Bigjoe}{12 June 2017}{5:09 pm} What people do not understand was Penang was one of the better managed state under BN rule. That it still had do much savings and improvements is just the tip of the iceberg of waste and poor performance that is the Federal Govt and other states.,"{bruno}{12 June 2017}{7:16 pm} Not only Vietnam and Thailand,or Indonesia and Philippines,because Myanmar is lurking close by.Just look at our education standards.And just look at MU.Once the pride of our nation and the envy of our neighbors,it is now a pitiful sigh,thanks to “Ketuahnan Melayu”.All this happen under the watch of Anwar,when he was the education minister.","{bruno}{12 June 2017}{7:19 pm} Come GE14,it is better to leave out mentioning the name of Anwar.That is Anwar is PM in waiting,unless the opposition wants to get creamed.",{bumi-non-malay}{13 June 2017}{on} Name Pairin Kitingan as Next PM and First from Borneo State as a Unifying Factor to Save Malaysial!!,,,
Why are there people who  insist on creating the scare that DAP is anti-Malay or anti-Islam when they know these outrageous charges are fake news and false information?,06/10/17,4 Comments,"{lbn}{11 June 2017}{4:16 am} They fear DAP because DAP poses a threat. Otherwise why they should bother and made all sorts of condemnations. LKS, just ignore all these remarks and comments and focus on the road ahead.","{Bigjoe}{11 June 2017}{6:14 am} Truth many people’s very lives are based on lies, especially many ” powerful” or ” elite” people. Truth is these people can be and even should be easily replaced.  ","{worldpress}{11 June 2017}{8:06 am} It’s ANTI-inter-racial, they are ANTI-INTER-RACIAL who don’t accept other racial as equal. ",{flyer168}{11 June 2017}{8:13 am} Just to share this…  –  https://www.youtube.com/watch?v=VKL7X71uTV0,,,
Najib should confirm or deny that he had three  other Ambank Accounts which were active at the material time of the alleged payment of RM9.5 million to lawyer Shafee Abdullah as well the payments themselves,06/08/17,1 Comment,{Bigjoe}{9 June 2017}{3:41 am} Confirm the facts of his criminality? Uphold rule of law? Clear the good name of Malaysia? Yah..right..,,,,,,
"Sabah should be model of inter-religious harmony, understanding, solidarity and unity with zero tolerance for extremism to Malaysia and the world",06/07/17,1 Comment,{worldpress}{7 June 2017}{6:52 pm} What is Trojan Horse?,,,,,,
"Sabah can teach Malaysia and the world on the importance of spreading the values of tolerance, understanding and mutual respect with zero tolerance for extremism and fanaticism of any form",06/05/17,1 Comment,{Bigjoe}{6 June 2017}{4:07 am} We are seeing real political and social consciousness by some Sabahan and even Sarawakians.  But even those who oppose BN in Sabah and Sarawak are mostly fighting local issues rather than National ones. Traditional ideas that what happens in Peninsula is irrelevant to them. ,,,,,,
Why Malaysians could walk tall all over the world during Mahathir’s  premiership but shy to admit they are Malaysians when abroad under Najib’s premiership?,06/04/17,3 Comments,"{SuperStringhg}{4 June 2017}{2:05 pm} Quote “The mindset shift is also striking. The people I talked to were confident about their future and proud of what had been accomplished. They were anxious to get the best education, learn new experiences, discover new business opportunities, seek ways to exploit new technologies, and were ready to move to the other side of the world if necessary in pursuit of their aspirations”. Unquote. Surprising, above spirit was found in the early part of Islam in the 9th to 11th century of Islam where Algorithm, Algebra and new inventions by Islam followers spread across the World. However, from 12th century onward, Islam followers started to regress onto itself. Malaysia seems to follow the same pattern now.","{Bigjoe}{4 June 2017}{9:22 pm} At the crux of our embarrassment, is paralysis enabled even underwritten by a promised future inspired by Iran that is a proven failure.","{good coolie}{4 June 2017}{10:26 pm} I was not proud of Dr. Mahatir. High spending, high risk, and good luck for the most part of his “reign”. Don’t forget the incredible losses proceeding from casino-like speculation, and terrible economic crash when he was lording over us. Somehow, punching Soros in the face would have solved our problem, Mahatir would have us believe!",,,,
Why the 1MDB saga could be far from over for Singapore,06/04/17,1 Comment,{ezraanne ezra}{7 June 2017}{5:40 pm} To have a good laugh is medicine :-,,,,,,
Call for an independent prosecutor to be appointed to probe into claims that Anwar’s prosecutor got money from Najib,06/03/17,1 Comment,"{good coolie}{4 June 2017}{10:28 pm} Mana ada “independence” pun. Apa ta lagi “independent prosecutor/investigator”. Ingat ini America kah, bro?",,,,,,
"Moderate Malaysians regardless of race, religion or politics must speak up strongly and steadfastly for peace, tolerance, understanding and mutual respect and not cede any single inch of mainstream ground to advocates of hatred, intolerance and extremism",06/03/17,1 Comment,"{good coolie}{3 June 2017}{11:07 pm} Mahatir, for all his weaknesses, managed to control religious extremists. But he, like Anwar, was more than capable of using religion for his own political purposes. These UMNO BARU/UMNO LAMA chaps think they can play the fool with the forces of religious extremism. Recent news of ISIS activity in Malaysia shows that things are serious. They say the ice-berg that is seen is only its tip: about seven-tenths of it (Oh My Science?) is under water, unseen.",,,,,,
Najib should be the first to take the lie-detector test and answer questions  on the 1MDB scandal and his private banking accounts by a panel of independent and eminent Malaysians,06/02/17,1 Comment,{good coolie}{4 June 2017}{10:34 pm} Make sure you use a heavy-duty lie detector. The “Orang Cina” (not original) machines will blow up under the weight of the lies.,,,,,,
"Alas – Kamarul Zaman is only a “downline” UMNO propagandist, and his admission  that it is  ridiculous for anyone to  claim that “Lim Kit Siang is the DAP and DAP is Lim Kit Siang” will not stop the “upline” UMNO propagandists, cybertroopers and leaders from continuing such attacks",05/31/17,3 Comments,"{Bigjoe}{1 June 2017}{8:36 am} Najib urged the civil service to reject mediocrity, the civil service should respond positively by starting with Najib and UMNO.",{Bigjoe}{1 June 2017}{8:39 am} And of course their now partner Hadi’s PAS.,"{good coolie}{1 June 2017}{2:51 pm} “…manna from heaven..”? I rest my case that Saudara Lim Kit Siang has a Christian agenda; maybe even a Jewish agenda, because “manna” is mentioned in the “Old Testament of the Bible” (Hebrew- Bible Canon), and is the forerunner of the “Christian Bread”. ",,,,
"Malaysians, regardless of race, religion or party affiliation, must steadfastly speak up for peace, harmony, tolerance and goodwill to foil designs of those who want to spread hate, extremism and strife in plural Malaysia",05/30/17,1 Comment,"{Bigjoe}{31 May 2017}{3:59 am} In his latest comments prompted by Jakarta, Manchester and Marseille, Najib urged rejecting violence and call for unity, interestingly enough, with special mention of religo and political leaders.",,,,,,
"The most meaningful way to celebrate Malaysia’s 60th National Day celebrations is to launch a  national movement to save the country from the politics of lies, hate and fear to ensure that what happened in Manchester, Jakarta and Egypt in the past week never  happen in Malaysia",05/29/17,1 Comment,{Bigjoe}{29 May 2017}{8:44 pm} This cause has one of its member the person who is responsible for creating the problem in the first place – Dr. Mahathir. There are those who insist only he can make it right as those who he leads will not accept others to lead the change.,,,,,,
"Malaysia can only succeed as a top-class nation competing with rest of the world if Malaysians adhere to the Constitution and Rukunegara principles to be good Malaysians by being good Muslims, good Buddhists, good Christians, good Hindus, good Sikhs and good Taoists",05/28/17,1 Comment,{lbn}{29 May 2017}{4:32 am} Real sad that this racial ranting goes unheeded. The government should immediately put a stop and bring the UUM lecturer to task. All religious and racial should be arrested on the onset. These issues will lay back our country if left unchecked.,,,,,,
Will Annuar Musa bear full legal responsibility for the “Lim Kit Siang is racist” writing contest and all the articles which won awards?,05/27/17,3 Comments,"{Bigjoe}{27 May 2017}{4:28 pm} These are classic anti-social behaviour like bullies and sociopaths, prodigal childrens and spoilt brats. The common thing about them – INCOMPETENCE AND LOW SELF-WORTH..",{undertaker888}{28 May 2017}{8:20 pm} We already know long time ago they are good for nothing. That’s why many don’t vote for them for years. Imagine a Chief or minister who is supposed to take care of the welfare of this country can do this d0g $hit thing. What has he achieved apart from syiok sendiri? Absolutely no class. A clown. Look at him. Basking in his syiok sendiri glory surrounded by his court jesters. ,"{good coolie}{1 June 2017}{3:50 pm} What is the first prize for the “Kit Siang is a Racist” contest? If it is worth it, I should be willing to go for it. I can write some good rubbish with the help of my friend, Auto-correct.",,,,
‘Contest to label someone a racist is stupid’,05/26/17,1 Comment,"{Bigjoe}{27 May 2017}{12:50 pm} Well its a mentally limited person who does such a contest but that really is not the quite the problem. The problem is ITS ANTI-SOCIAL AND OVER-ENTITLEMENT. He believes he can get away with basically socially destructive behaviour that is unjust to others – like a bully but worst, he has NO CLUE the harm he does to others AND TO HIMSELF AND THOSE WHO PARTICIPATE – they are living a delusion of their self-worth, their place in community, society.",,,,,,
The forthcoming 14GE will decide whether Najib can  “outwit” 30 million Malaysians with the international multi-billion dollar 1MDB money-laundering scandal which has given Malaysia the infamy and ignominy of a “global kleptocracy”,05/25/17,2 Comments,"{Bigjoe}{25 May 2017}{10:25 am} It’s SO VERY TRUE. Ultimately it’s about whether most Malaysian can get outsmarted by Najib. Worst still, the answer cannot be yes or most of us will have a disappointing future – look at Iran and see our future",{Tong C.K. HO}{25 May 2017}{10:12 pm} That is why the need to get Election Commission to “juggled” … strike out names and refuse to allow access to voters list. I believe the saying is … “the GE14 will be won (or lost?) before the voters VOTE,,,,,
Singapore Convicts Fifth Person Involved in 1MDB-Related Cases,05/24/17,4 Comments,{Bigjoe}{25 May 2017}{4:54 am} Singapore continues to plough away at refining it’s already low corruption system but here we have ministers and ex- ministers argue whether the other person is more hypocritical on the issue of corruption. In other words BN politicians are arguing corruption wrong is relative.,"{Bigjoe}{25 May 2017}{7:33 am} What is more disturbing is some 30% think Najib is still fit to be PM, UMNO/BN still OK to rule despite the proven corruption and wrecking the foundation of institutional governance.  ","{bruno}{25 May 2017}{7:40 am} Just like what Singapore is doing,putting all the crooks involved in 1MDB in prison.The Feds and now a special counsel is probing the Russian interference and possible collusion of Trump campaign officials in the US presidential elections.","{bruno}{25 May 2017}{7:46 am} For the top players involved in the 1MDB scandal to be prosecuted,Malaysia has first to do away with the kangaroo courts.Then clean up the public institutions.To be able to do this,is to win GE14.The PM wannabes cannot be Anwar or Muhyiddin.Mahathir or Zaid Ibrahim will be better choices.",,,
Malaysians do not know whether to laugh or to cry!,05/24/17,3 Comments,{Justice Ipsofacto}{24 May 2017}{1:21 pm} Under jib and umno / BN the nation will be cooked.,{Bigjoe}{24 May 2017}{2:37 pm} Neither laugh o cry. Insulted and angry. Get very very angry at the underseving jerks that makes a fool of us and abuse and waste the privilliges and over entitlement we give to them..,"{good coolie}{1 June 2017}{3:53 pm} Cry, Beloved Country!",,,,
5 World Leaders Less Popular than President Donald Trump,05/23/17,4 Comments,"{SuperStringhg}{23 May 2017}{9:20 pm} “Zuma is grooming his ex-wife to be his political successor to protect himself from prosecution once he leaves office”. Unquote. WoW, imagine Rosmah the next Prime Minister of Malaysia….hehehehe","{Bigjoe}{24 May 2017}{8:03 am} Najib says he let his report card speak for itself, but who wrote the test and the report card itself? Every country in the world particularly in ASEAN grew like gang-buster with China pump-priming and US Fed actions, unprecedented.  AND he still did not get an ‘A’ and got beaten in class by Vietnam and Philippines even, Thailand when through political turmoil for a few years and still did not badly.","{good coolie}{25 May 2017}{11:03 pm} Najib is an innocent angel compared to that wily Trump chap. The only reason I respect and fear this Clown of USA is the fact is that he is twirling between his fingers, The Red Button, that can fry the whole globe,","{good coolie}{1 June 2017}{3:59 pm} Everything that Obama likes, Trump hates. The White House is finally white, that is what matters most to some Americans. ",,,
Patriotic and right-thinking Malaysians must condemn and smack down mischief makers who want to falsely frame the 14th General Election as a  battle between Malays and Chinese as well as between Islam and enemies of Islam,05/21/17,3 Comments,"{Bigjoe}{21 May 2017}{10:30 am} There is something about the David Yeo incident, like many Najib things, that makes no sense and suspicious.","{winstony}{21 May 2017}{1:10 pm} Yes, GE14 is a Battle Royal alright!
But it is definitely not a fight between race and religion.
IT IS A FIGHT BETWEEN GOOD AND EVIL!","{Bigjoe}{21 May 2017}{5:45 pm} Another myth is to debunk that the Malays are weak politically. What group are politically weak when their top leaders can steal BILLIONS, challenged by his former mentor who was most powerful leader that group has ever known, their partner-group leaders has failed to govern states for decades and still stay in power with cries of religion?",,,,
Call on  political parties and leaders in Penang to be the vanguard in Malaysia to condemn mischief-makers who are trying to falsely frame the 14th General Election as a  battle between Malays and Chinese as well as between Islam and enemies of Islam,05/20/17,2 Comments,"{Bigjoe}{20 May 2017}{11:59 am} The next GE is Malay Vs Malay. Mahathir is the leader of the opposition. The contenders for that position are all.Malay, the next generation in.line are all Malay.  How is it possible pathetic copywriter Najib and hardly living in today’s world Hadi’s PAS can be writing the narrative?",{Justice Ipsofacto}{22 May 2017}{11:42 am} Chinese vs Malay in GE14?,,,,,
Irony of ironies – Wasatiyyah for the world but no wasatiyyah at home,05/19/17,1 Comment,"{Bigjoe}{20 May 2017}{8:06 am} This problem of UMNO and PAS using Arabic words to justify their hypocrisy and lies and abuse of public trust, faith and power must have a more systematic solution from the opposition.",,,,,,
Kamarul Zaman’s police report  against Hannah Yeoh raises the question whether he is fit and proper  to be a lecturer of plural Malaysia’s public university,05/18/17,5 Comments,"{Bigjoe}{18 May 2017}{3:30 pm} This is the Malaysia, the TN50 Najib and his pal Hadi Awang want to take us into the future. Its not governed by reason or law, its governed by power and which side you are on. So long you are on the right side, any excuse is reason, its always someone else fault, can always make the burden someone else’s no matter the injustice, law or even logic.","{SuperStringhg}{19 May 2017}{12:00 pm} Only religious extremist can think that way; if you ask any ISIS members, all will agree with Kamarul Zaman’s view!!! I rest my case.","{good coolie}{19 May 2017}{1:41 pm} Too many verses from the Bible? How many verses will the saudara allow Hannah to use, then, in her autobiography? ","{Bigjoe}{22 May 2017}{12:50 pm} Kamarul is not only unfit to be lecturer, he is unfit to be in public without supervision. He is mentally unsound. Need psychiatric help.","{good coolie}{25 May 2017}{11:14 pm} Hannah, remember Hotel Kamunting? Be prepared to be fed just a loaf and “two fishes”. I understand DAP women would consider that “two-fishes” is poor food. ",,
Best Wishes to Hadi for swift recovery from heart surgery to the best of health,05/17/17,3 Comments,{Bigjoe}{17 May 2017}{10:08 am} Actually what would happen if Hadi died?,"{SuperStringhg}{18 May 2017}{1:34 pm} Actually I wanted to say something nasty but after reading Mr Lim article, he is right. We should not attack the person but his idea. So, let me wish Hadi a swift and early recovery.",{good coolie}{19 May 2017}{1:46 pm} We are all humans first. Only then are we Parti Kepala Otak or Parti Kepala Lembu.,,,,
The Sorry Shape of the Malaysian Ship of State,05/16/17,3 Comments,"{Bigjoe}{16 May 2017}{3:03 pm} What can epitomises this sad ship more than PAS? This whole drama about breaking with PAS but not resign or fired from govt.  While Azmin’s political operational skill is clearly outstanding, his idea its actually national leadership proves he should never be PM. National leadership cannot be just politics, its about governance, vision and change which an operator is limited they can do.  Najib is a good operator too, so it shows what happens when you are just one. Azmin is just a different side but the same basic machine inside as Najib pretty much.",{good coolie}{16 May 2017}{10:25 pm} When did the rot start? I only know WHERE the rot started: from the head!,"{Bigjoe}{18 May 2017}{7:41 am} This coming GE is Malay Vs. Malay – Non-Malays can only choose which side, even Sarawak and Sabah although they are pivitol to the decision making – in fact they are the decider. So its time to take the premise of both UMNO and espeicially Hadi’s PAS basic strategy out of the equation. Cut the legs off their strategy so to speak.",,,,
“Curiouser and curiouser” as there is no way PAS can win 40 parliamentary seats and five state governments without some form of electoral arrangement or alliance  with UMNO,05/16/17,3 Comments,"{Bigjoe}{16 May 2017}{12:01 pm} Its clear as daylight there will be some sort of electoral pact between UMNO and PAS, words from the likes of Hashim Jasin, Nasruddin, Khairuddin, Marzuki from PAS and Zahid Hamidi himself from UMNO shows they are preparing for a pact. They have even indicated ultimately their excuse for it is denial and the words are HUDUD AND ISLAM. They will keep shouting it until their they lose their voice to hypnotise their followers and drown out their critics.","{Bigjoe}{16 May 2017}{9:29 pm} Its not how many seats PAS can win if it contest 100 seats BUT how many seats UMNO/BN can win if PAS contest 100 seats. In other words, the ideal situation is UMNO/BN give UMNO seats to PAS what PAS can deliver from PKR-Amanah-Bersatu etc seats to BN. ","{undertaker888}{17 May 2017}{10:45 am} The fat man of Manchester is throwing the kitchen sink now. This time Communist, Islamophobia, and whatnot are included. Same old tactics we have seen before the ages of dinosaur. Then again dinosaur politics got to end the same. ",,,,
Will UMNO concede to PAS the 40 parliamentary seats and five state governments which PAS leaders declare as their objectives in 14GE?,05/14/17,3 Comments,"{Bigjoe}{14 May 2017}{10:00 pm} PAS is delusional but definitely working with UMNO. Najib deftly dropped RUU 355 and Hadi says he is grateful. If I were Najib, I look at all of PKR, Amanah seats UMNO/BN will win because of PAS, then work out to make sure PAS do not lose too badly. It would be more optimal than getting as many seats as UMNO can because it would keep PAS delusional and UMNO in power.",{Saint}{15 May 2017}{6:41 pm} Quote “The 14GE is not a battle between Malays vs non-Malays or Muslim vs non-Muslims but a battle among Malaysians” –  ,"{Bigjoe}{15 May 2017}{8:42 pm} I disagree whole heartedly with those who says DAP is getting much wrong. NOT having a great strategy, a sure win strategy is not necessarily wrong. Its simply means getting something truly great right is very hard – hope is very much in short. Truth is you can even argue even Pakatan Harapan is not necessarily getting it very wrong – they just not that talented and not that great – that is what life has dished out to them and us.",,,,
Call for appointment of an Independent Prosecutor to investigate into egregious abuses of power by Attorney-General and Inspector-General of Police as in the baseless charges against Khairuddin and Chang since July 2015,05/12/17,1 Comment,{good coolie}{14 May 2017}{11:52 am} “Main-main” with the law for political reasons.,,,,,,
"In playing the race and religious cards at 71st UMNO anniversary, Najib has wiped out the credibility of his Vesak Day speech that extremism should be “very few on the fringe”",05/12/17,2 Comments,"{Bigjoe}{14 May 2017}{6:53 am} Hypocrisy is UMNO’s bread and butter, you may even say its a real ideology – on race,they shout fear mongering, on another they urge tolerance and compromise. They shout defense of their race, but steal them blind and abuse institutions and laws that are basic to their most fundamental rights. They tell Sarawakians they fight for their development and future but work tirelessly to undermine their society and political power and goal of eventual hegemony.","{Bigjoe}{15 May 2017}{6:52 am} “WANDA group can do WONDERS…..”???? Seriously? Is this what are occupies the mind if the most powerful man in the country? Liners, advertising liners? Like Trump tweeting? Najib is as incompetent and unqualified as the US president",,,,,
UMNO’s 71st Anniversary “Superlative Achievement” – Turning  Malaysia into  a global kleptocracy!,05/11/17,2 Comments,"{Bigjoe}{11 May 2017}{10:03 pm} Prof. Khoo says UMNO has never changed – fact is Malay and Islamisation has always been it’s top priority. But fact of the matter, UMNO started on its Ketuanan and Malay Agenda ideology with two different interpretation. Tunku had a liberal interpretation which followed universal principles and strong governance but the ultras idea was simplistic brute hegemony.","{Bigjoe}{12 May 2017}{6:09 am} What UMNO is today is largely the making of the ultras, the main leader is Mahathir who is now against it.",,,,,
Isn’t Malaysia’s new-found infamy as “global kleptocracy” and MACC’s drive  for  corruption to be declared as country’s number one enemy a blatant contradiction in terms?,05/10/17,3 Comments,"{SuperStringhg}{10 May 2017}{11:10 pm} What so important to have a less corrupt society? The answer must be for the betterment of the people since the country resources are efficiently used to improve hospital, roads, transport, infrastructure, etc. Many African countries are corrupted, so even they have rich resources but the ordinary people never enjoy it. Malaysia is moving along this slippery slope while many people still sleeping.",{Bigjoe}{11 May 2017}{3:53 am} Hypocrisy is UMNO’s main bread and butter tool of politics.,{Bigjoe}{11 May 2017}{3:54 am} and sociopaths.,,,,
"Bandar Malaysia fallout: Two relieved of duties, say reports",05/10/17,2 Comments,{Bigjoe}{10 May 2017}{9:50 am} The real question is why abort the deal BEFORE another deal is in place if there are other interested party?  More curious is why did Arul announced that a new deal would be announced soon only to find out he has been fired?,"{SuperStringhg}{10 May 2017}{12:10 pm} Another symptom of extreme bad management shown by Najib’s government. Imagine on Tuesday Arul is preparing Najib’s visit on Wednesday but this was cancelled Wednesday because TRX City Sdn Bhd accused IWH and CREC consortium cannot pay up despite 12 extensions being granted. So, it just sound like A big shot woke up on Wed morning and discovered Consortium yet to pay up so called off deal! I have no other explanation to explain this bizarre behaviour.",,,,,
10 Male Muslim Scholars Who Resist Islamic Punishments,05/09/17,2 Comments,{Bigjoe}{9 May 2017}{11:38 am} All the scholarly argument means very little to a population fed on excuses for decades under (over)entitlement of race and religion.,"{good coolie}{9 May 2017}{8:58 pm} The views that you express here, sir, were once pervasively taken for granted as true in Malaysia by Muslims as well as Non-Muslims. Nowadays, progressive views such as those you put forward cannot be taken for granted: they have to be defended at every level of scholarship and in a respectful but fearless manner.",,,,,
Najib’s upbeat take on 1MDB called into question,05/08/17,1 Comment,{Bigjoe}{8 May 2017}{9:36 pm} There is now a spin Najib decided to end it with IWH-CREC. Supposedly they have investors lining up BUT Arul Kanda no longer handling TRX. The message coming out appear there is at least some chaos going on up there.,,,,,,
